Date,Climb,Hold #,Start?,Top?,Strength,s1,s2,s3,Up Strength,Right Strength,Down Strength,Left Strength,x,y,z
10/2/25,FR-GR-V0,9,FALSE,FALSE,5.33,6,6,4,5.33,3,3,5,,,
10/2/25,FR-GR-V0,10,FALSE,FALSE,9.00,9,9,9,9.00,5,2,5,,,
10/2/25,FR-GR-V0,11,FALSE,FALSE,9.00,9,9,9,9.00,4,2,4,,,
10/2/25,FR-GR-V0,12,FALSE,FALSE,8.67,9,8,9,8.67,4,2,8,,,
10/2/25,FR-GR-V0,13,FALSE,FALSE,4.33,5,5,3,4.33,4,2,4,,,
10/2/25,FR-GR-V0,14,FALSE,FALSE,6.33,7,7,5,6.33,4,3,4,,,
10/2/25,FR-GR-V0,15,FALSE,FALSE,8.67,9,8,9,8.67,4,2,4,,,
10/2/25,FR-GR-V0,16,FALSE,FALSE,8.33,9,8,8,8.33,4,4,8,,,
10/2/25,FR-GR-V0,17,FALSE,FALSE,5.67,7,6,4,5.67,4,4,4,,,
10/2/25,FR-GR-V0,18,FALSE,FALSE,8.67,9,9,8,8.67,4,2,4,,,
10/2/25,FR-GR-V0,19,FALSE,FALSE,6.33,6,5,8,6.33,5,2,2,,,
10/2/25,FR-GR-V0,20,FALSE,FALSE,8.67,9,8,9,8.67,5,2,5,,,
10/2/25,FR-GR-V0,21,FALSE,FALSE,9.33,9,9,10,9.33,6,5,6,,,
10/2/25,FR-GR-V0,22,FALSE,FALSE,3.67,5,4,2,3.67,3,3,3,,,
10/2/25,FR-GR-V0,23,FALSE,FALSE,8.33,8,9,8,8.33,4,2,4,,,
10/2/25,FR-GR-V0,24,FALSE,FALSE,8.33,8,9,8,8.33,4,2,4,,,
10/2/25,FR-GR-V0,25,FALSE,FALSE,8.67,9,9,8,8.67,4,2,8,,,
10/2/25,FR-GR-V0,26,FALSE,FALSE,8.67,9,9,8,8.67,4,2,5,,,
10/2/25,FR-GR-V0,27,FALSE,FALSE,8.67,9,9,8,8.67,4,2,5,,,
10/2/25,FR-GR-V0,28,FALSE,TRUE,9.00,9,9,9,9.00,5,4,5,,,
10/2/25,IR-WH-V1,1,FALSE,FALSE,3.33,2,5,3,3.33,2,3,2,,,
10/2/25,IR-WH-V1,2,FALSE,FALSE,3.33,2,5,3,3.33,2,3,2,,,
10/2/25,IR-WH-V1,3,FALSE,FALSE,3.33,2,5,3,3.33,2,3,2,,,
10/2/25,IR-WH-V1,4,FALSE,FALSE,3.33,2,5,3,3.33,2,3,2,,,
10/2/25,IR-WH-V1,5,FALSE,FALSE,3.33,2,5,3,3.33,2,3,2,,,
10/2/25,IR-WH-V1,6,TRUE,FALSE,8.00,8,9,7,8.00,2,2,2,,,
10/2/25,IR-WH-V1,7,FALSE,FALSE,3.33,2,5,3,3.33,2,3,2,,,
10/2/25,IR-WH-V1,8,FALSE,FALSE,7.00,6,8,7,7.00,2,2,2,,,
10/2/25,IR-WH-V1,9,FALSE,FALSE,3.33,2,5,3,3.33,2,3,2,,,
10/2/25,IR-WH-V1,10,FALSE,FALSE,9.00,9,9,9,9.00,2,2,2,,,
10/2/25,IR-WH-V1,11,FALSE,FALSE,3.33,2,5,3,3.33,2,2,2,,,
10/2/25,IR-WH-V1,12,FALSE,FALSE,3.33,2,5,3,3.33,2,2,2,,,
10/2/25,IR-WH-V1,13,FALSE,FALSE,8.00,7,9,8,8.00,2,2,8,,,
10/2/25,IR-WH-V1,14,FALSE,FALSE,8.67,7,9,10,8.67,8,2,2,,,
10/2/25,IR-WH-V1,15,FALSE,FALSE,7.00,6,8,7,7.00,7,2,2,,,
10/2/25,IR-WH-V1,16,FALSE,FALSE,7.67,7,8,8,7.67,2,2,2,,,
10/2/25,IR-WH-V1,17,FALSE,FALSE,8.33,7,9,9,8.33,2,2,2,,,
12/26/25,WW-BL-V0,1,FALSE,FALSE,5.67,6,7,4,5.67,5,5,5,,,
12/26/25,WW-BL-V0,2,FALSE,FALSE,5.33,4,7,5,5.33,3,4,3,,,
12/26/25,WW-BL-V0,3,FALSE,FALSE,5.33,5,7,4,5.33,4,4,4,,,
12/26/25,WW-BL-V0,4,FALSE,FALSE,6.67,6,8,6,6.67,2,5,2,,,
12/26/25,WW-BL-V0,5,FALSE,FALSE,6.33,7,7,5,6.33,3,4,3,,,
12/26/25,WW-BL-V0,6,TRUE,FALSE,9.33,9,9,10,9.33,6,3,6,,,
12/26/25,WW-BL-V0,7,TRUE,FALSE,9.33,9,9,10,9.33,6,3,6,,,
12/26/25,WW-BL-V0,8,FALSE,FALSE,4.33,4,5,4,4.33,2,4,2,,,
12/26/25,WW-BL-V0,9,FALSE,FALSE,8.67,8,8,10,8.67,4,4,4,,,
12/26/25,WW-BL-V0,10,FALSE,FALSE,9.33,9,9,10,9.33,3,4,3,,,
12/26/25,WW-BL-V0,11,FALSE,FALSE,4.33,4,5,4,4.33,2,4,2,,,
12/26/25,WW-BL-V0,12,FALSE,FALSE,9.33,9,9,10,9.33,4,3,4,,,
12/26/25,WW-BL-V0,13,FALSE,FALSE,9.33,9,9,10,9.33,4,4,4,,,
12/26/25,WW-BL-V0,14,FALSE,FALSE,8.33,8,9,8,8.33,1,3,8,,,
12/26/25,WW-BL-V0,15,FALSE,FALSE,9.33,9,9,10,9.33,5,2,5,,,
12/26/25,WW-BL-V0,16,FALSE,FALSE,9.33,9,9,10,9.33,6,2,6,,,
12/26/25,WW-BL-V0,17,FALSE,FALSE,9.67,9,10,10,9.67,6,2,6,,,
12/26/25,WW-BL-V0,18,FALSE,FALSE,9.00,8,9,10,9.00,2,2,2,,,
12/26/25,WW-BL-V0,19,FALSE,FALSE,9.00,9,8,10,9.00,2,2,2,,,
12/26/25,WW-BL-V0,20,FALSE,TRUE,9.67,9,10,10,9.67,7,2,7,,,
12/26/25,IR-GR-V1,1,FALSE,FALSE,6.33,6,6,7,6.33,1,3,1,,,
12/26/25,IR-GR-V1,2,FALSE,FALSE,4.33,6,5,2,4.33,1,4,1,,,
12/26/25,IR-GR-V1,3,FALSE,FALSE,6.33,7,7,5,6.33,1,6,1,,,
12/26/25,IR-GR-V1,4,FALSE,FALSE,7.33,8,8,6,7.33,2,6,2,,,
12/26/25,IR-GR-V1,5,FALSE,FALSE,2.33,1,4,2,2.33,1,2,1,,,
12/26/25,IR-GR-V1,6,TRUE,FALSE,9.33,9,10,9,9.33,2,9,2,,,
12/26/25,IR-GR-V1,7,FALSE,FALSE,9.33,9,9,10,9.33,6,3,6,,,
12/26/25,IR-GR-V1,8,FALSE,FALSE,9.33,9,9,10,9.33,6,3,6,,,
12/26/25,IR-GR-V1,9,FALSE,FALSE,3.33,2,4,4,3.33,2,3,2,,,
12/26/25,IR-GR-V1,10,FALSE,FALSE,3.33,2,4,4,3.33,2,3,2,,,
12/26/25,IR-GR-V1,11,FALSE,FALSE,8.33,8,9,8,8.33,2,2,2,,,
12/26/25,IR-GR-V1,12,FALSE,FALSE,8.00,8,9,7,8.00,2,2,2,,,
12/26/25,IR-GR-V1,13,FALSE,FALSE,9.33,9,10,9,9.33,6,9,4,,,
12/26/25,IR-GR-V1,14,FALSE,FALSE,8.67,8,9,9,8.67,4,2,4,,,
12/26/25,IR-GR-V1,15,FALSE,FALSE,8.00,8,8,8,8.00,2,3,2,,,
12/26/25,IR-GR-V1,16,FALSE,FALSE,8.67,9,9,8,8.67,2,3,2,,,
12/26/25,IR-GR-V1,17,FALSE,FALSE,8.67,9,8,9,8.67,6,2,6,,,
12/26/25,IR-GR-V1,18,FALSE,FALSE,8.67,9,8,9,8.67,6,2,6,,,
12/31/25,IR-WH-V0,1,FALSE,FALSE,6.67,6,7,7,6.67,6,6,6,,,
12/31/25,IR-WH-V0,2,FALSE,FALSE,6.67,6,7,7,6.67,6,6,6,,,
12/31/25,IR-WH-V0,3,FALSE,FALSE,6.67,6,7,7,6.67,6,6,6,,,
12/31/25,IR-WH-V0,4,FALSE,FALSE,6.67,6,7,7,6.67,6,6,6,,,
12/31/25,IR-WH-V0,5,FALSE,FALSE,4.00,3,4,5,4.00,2,3,2,,,
12/31/25,IR-WH-V0,6,TRUE,FALSE,7.67,8,8,7,7.67,3,2,7,,,
12/31/25,IR-WH-V0,7,TRUE,FALSE,8.33,8,9,8,8.33,3,2,8,,,
12/31/25,IR-WH-V0,8,FALSE,FALSE,4.00,3,4,5,4.00,2,3,2,,,
12/31/25,IR-WH-V0,9,FALSE,FALSE,8.33,8,9,8,8.33,3,2,3,,,
12/31/25,IR-WH-V0,10,FALSE,FALSE,8.67,8,9,9,8.67,4,3,6,,,
12/31/25,IR-WH-V0,11,FALSE,FALSE,3.67,3,3,5,3.67,2,2,2,,,
12/31/25,IR-WH-V0,12,FALSE,FALSE,7.67,8,7,8,7.67,2,2,2,,,
12/31/25,IR-WH-V0,13,FALSE,FALSE,7.67,8,8,7,7.67,2,2,2,,,
12/31/25,IR-WH-V0,14,FALSE,FALSE,8.33,8,9,8,8.33,6,2,2,,,
12/31/25,IR-WH-V0,15,FALSE,FALSE,8.33,8,9,8,8.33,3,2,3,,,
12/31/25,IR-WH-V0,16,FALSE,FALSE,8.67,8,9,9,8.67,3,2,3,,,
12/31/25,IR-WH-V0,17,FALSE,FALSE,8.33,8,9,8,8.33,3,2,3,,,
12/31/25,IR-WH-V0,18,FALSE,FALSE,8.33,8,9,8,8.33,3,2,3,,,
12/31/25,IR-WH-V0,19,FALSE,FALSE,8.67,8,9,9,8.67,3,2,3,,,
12/31/25,IR-WH-V0,20,FALSE,FALSE,8.00,7,9,8,8.00,3,2,6,,,
12/31/25,IR-BL-V1,1,FALSE,FALSE,4.67,6,4,4,4.67,2,2,2,,,
12/31/25,IR-BL-V1,2,FALSE,FALSE,7.67,8,8,7,7.67,7,1,1,,,
12/31/25,IR-BL-V1,3,FALSE,FALSE,7.00,7,7,7,7.00,1,1,1,,,
12/31/25,IR-BL-V1,4,FALSE,FALSE,5.33,5,6,5,5.33,1,1,4,,,
12/31/25,IR-BL-V1,5,TRUE,FALSE,6.67,6,8,6,6.67,5,6,5,,,
12/31/25,IR-BL-V1,6,FALSE,FALSE,4.67,5,4,5,4.67,2,2,2,,,
12/31/25,IR-BL-V1,7,FALSE,FALSE,6.67,6,7,7,6.67,6,1,1,,,
12/31/25,IR-BL-V1,8,FALSE,FALSE,3.00,3,3,3,3.00,2,2,3,,,
12/31/25,IR-BL-V1,9,FALSE,FALSE,6.33,7,7,5,6.33,2,2,2,,,
12/31/25,IR-BL-V1,10,FALSE,FALSE,7.33,8,7,7,7.33,2,3,2,,,
12/31/25,IR-BL-V1,11,FALSE,FALSE,7.00,7,8,6,7.00,1,1,1,,,
12/31/25,IR-BL-V1,12,FALSE,FALSE,6.33,5,8,6,6.33,2,6,2,,,
12/31/25,IR-BL-V1,13,FALSE,FALSE,6.00,5,7,6,6.00,2,2,4,,,
12/31/25,TT-BL-V1,1,FALSE,FALSE,5.67,5,5,7,5.67,4,4,4,,,
12/31/25,TT-BL-V1,2,FALSE,FALSE,6.33,6,5,8,6.33,2,6,2,,,
12/31/25,TT-BL-V1,3,FALSE,FALSE,6.33,6,6,7,6.33,3,6,3,,,
12/31/25,TT-BL-V1,4,FALSE,FALSE,4.33,4,5,4,4.33,4,4,4,,,
12/31/25,TT-BL-V1,5,FALSE,FALSE,4.00,4,4,4,4.00,4,4,4,,,
12/31/25,TT-BL-V1,6,FALSE,FALSE,4.67,4,6,4,4.67,4,4,4,,,
12/31/25,TT-BL-V1,7,FALSE,FALSE,4.67,4,6,4,4.67,4,4,4,,,
12/31/25,TT-BL-V1,8,TRUE,FALSE,7.00,6,8,7,7.00,2,3,2,,,
12/31/25,TT-BL-V1,9,FALSE,FALSE,7.00,7,7,7,7.00,5,6,2,,,
12/31/25,TT-BL-V1,10,FALSE,FALSE,8.00,8,8,8,8.00,7,2,2,,,
12/31/25,TT-BL-V1,11,FALSE,FALSE,8.33,8,8,9,8.33,3,3,8,,,
12/31/25,TT-BL-V1,12,FALSE,FALSE,4.33,3,6,4,4.33,4,4,4,,,
12/31/25,TT-BL-V1,13,FALSE,FALSE,6.67,5,7,8,6.67,1,1,1,,,
12/31/25,TT-BL-V1,14,FALSE,FALSE,3.33,2,4,4,3.33,2,2,2,,,
12/31/25,TT-BL-V1,15,FALSE,FALSE,7.00,6,7,8,7.00,2,2,6,,,
12/31/25,TT-BL-V1,16,FALSE,FALSE,8.67,8,9,9,8.67,7,2,7,,,
12/31/25,TT-BL-V1,17,FALSE,FALSE,7.33,6,8,8,7.33,2,2,2,,,
12/31/25,TT-BL-V1,18,FALSE,FALSE,8.33,8,8,9,8.33,8,2,8,,,
12/31/25,TT-BL-V1,19,FALSE,FALSE,7.00,6,8,7,7.00,2,2,2,,,
12/31/25,TT-BL-V1,20,FALSE,FALSE,7.00,6,8,7,7.00,2,2,2,,,
12/31/25,BY-PR-V1,1,FALSE,FALSE,8.00,8,9,7,8.00,8,8,5,,,
12/31/25,BY-PR-V1,2,FALSE,FALSE,8.00,8,9,7,8.00,8,8,8,,,
12/31/25,BY-PR-V1,3,FALSE,FALSE,8.00,8,9,7,8.00,8,8,8,,,
12/31/25,BY-PR-V1,4,FALSE,FALSE,8.00,8,9,7,8.00,8,8,8,,,
12/31/25,BY-PR-V1,5,TRUE,FALSE,8.33,9,9,7,8.33,8,8,8,,,
12/31/25,BY-PR-V1,6,TRUE,FALSE,9.00,9,9,9,9.00,8,8,8,,,
12/31/25,BY-PR-V1,7,FALSE,FALSE,9.00,9,9,9,9.00,8,8,8,,,
12/31/25,BY-PR-V1,8,FALSE,FALSE,9.00,9,9,9,9.00,9,9,9,,,
12/31/25,BY-PR-V1,9,FALSE,FALSE,9.00,9,9,9,9.00,5,6,9,,,
12/31/25,BY-PR-V1,10,FALSE,FALSE,6.33,7,7,5,6.33,2,1,2,,,
12/31/25,BY-PR-V1,11,FALSE,FALSE,9.00,9,9,9,9.00,3,8,8,,,
12/31/25,BY-PR-V1,12,FALSE,FALSE,9.00,9,9,9,9.00,8,2,8,,,
12/31/25,BY-PR-V1,13,FALSE,FALSE,8.67,9,9,8,8.67,8,8,8,,,
12/31/25,BY-PR-V1,14,FALSE,FALSE,9.00,9,9,9,9.00,8,5,8,,,
12/31/25,BY-PR-V1,15,FALSE,FALSE,9.00,9,9,9,9.00,8,8,4,,,
12/31/25,BY-PR-V1,16,FALSE,FALSE,9.00,9,9,9,9.00,7,5,9,,,
12/31/25,BY-WH-V0,1,FALSE,FALSE,8.00,7,8,9,8.00,3,3,3,,,
12/31/25,BY-WH-V0,2,FALSE,FALSE,6.33,6,7,6,6.33,2,4,2,,,
12/31/25,BY-WH-V0,3,FALSE,FALSE,8.00,8,8,8,8.00,3,5,3,,,
12/31/25,BY-WH-V0,4,FALSE,FALSE,5.00,5,5,5,5.00,2,2,2,,,
12/31/25,BY-WH-V0,5,TRUE,FALSE,9.00,9,9,9,9.00,4,3,7,,,
12/31/25,BY-WH-V0,6,FALSE,FALSE,5.67,6,6,5,5.67,3,4,3,,,
12/31/25,BY-WH-V0,7,FALSE,FALSE,7.67,8,8,7,7.67,2,3,2,,,
12/31/25,BY-WH-V0,8,FALSE,FALSE,8.00,8,8,8,8.00,2,2,2,,,
12/31/25,BY-WH-V0,9,FALSE,FALSE,8.33,8,8,9,8.33,7,2,5,,,
12/31/25,BY-WH-V0,10,FALSE,FALSE,8.33,8,8,9,8.33,4,2,6,,,
12/31/25,BY-WH-V0,11,FALSE,FALSE,5.67,5,7,5,5.67,2,1,2,,,
12/31/25,BY-WH-V0,12,FALSE,FALSE,8.33,9,9,7,8.33,2,2,2,,,
12/31/25,BY-WH-V0,13,FALSE,FALSE,8.33,9,9,7,8.33,2,2,2,,,
12/31/25,BY-WH-V0,14,FALSE,FALSE,8.00,8,8,8,8.00,2,2,2,,,
12/31/25,BY-WH-V0,15,FALSE,FALSE,8.00,8,8,8,8.00,2,2,2,,,
12/31/25,BY-WH-V0,16,FALSE,FALSE,8.00,8,8,8,8.00,2,2,2,,,
12/31/25,BY-WH-V0,17,FALSE,FALSE,7.67,7,8,8,7.67,2,2,7,,,
12/31/25,BY-WH-V0,18,FALSE,TRUE,7.33,6,7,9,7.33,5,3,5,,,
12/31/25,BY-YL-V1,1,FALSE,FALSE,5.00,5,5,5,5.00,2,3,2,,,
12/31/25,BY-YL-V1,2,FALSE,FALSE,4.33,4,4,5,4.33,3,4,3,,,
12/31/25,BY-YL-V1,3,FALSE,FALSE,3.67,4,3,4,3.67,1,2,1,,,
12/31/25,BY-YL-V1,4,TRUE,FALSE,7.00,8,7,6,3.00,7,3,3,,,
12/31/25,BY-YL-V1,5,TRUE,FALSE,7.00,8,7,6,3.00,3,3,7,,,
12/31/25,BY-YL-V1,6,FALSE,FALSE,4.00,4,4,4,4.00,3,3,3,,,
12/31/25,BY-YL-V1,7,FALSE,FALSE,7.33,8,7,7,7.33,4,2,4,,,
12/31/25,BY-YL-V1,8,FALSE,FALSE,3.67,4,3,4,3.67,2,2,2,,,
12/31/25,BY-YL-V1,9,FALSE,FALSE,7.00,8,7,6,7.00,2,2,6,,,
12/31/25,BY-YL-V1,10,FALSE,FALSE,7.00,6,8,7,7.00,5,4,5,,,
12/31/25,BY-YL-V1,11,FALSE,FALSE,7.00,6,8,7,7.00,5,4,7,,,
12/31/25,BY-YL-V1,12,FALSE,FALSE,7.33,6,8,8,7.33,7,5,7,,,
12/31/25,BY-YL-V1,13,FALSE,FALSE,7.33,6,9,7,7.33,6,3,3,,,
12/31/25,BY-YL-V1,14,FALSE,FALSE,7.67,7,9,7,7.67,5,3,5,,,
12/31/25,BY-YL-V1,15,FALSE,TRUE,7.33,7,7,8,7.33,4,2,4,,,
